Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Sector_Group
Byju'S,2011,Bangalore,EdTech,byju's is an educational technology company that develops personalized learning programs for k-12 students.,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",350000000.0,Unknown,2021,Education
Power Gummies,2018,New Delhi,Nutrition,power gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,"Venture Catalysts, 9Unicorns",1000000.0,Unknown,2021,Information Technology
Convosight,2019,New Delhi,SaaS startup,a mission - to help community builders become community entrepreneurs.,Tarun Dhamija,Qualgro,9000000.0,Series A,2021,Information Technology
Junio,2020,New Delhi,FinTech,junio is a kids-focused digital pocket money-smart card.,Ankit Gera,"Amit Lakhotia, Pravin Jadhav",600000.0,Seed,2021,Finance & FinTech
Wherehouse.Io,2020,New Delhi,Logistics,"wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,0.0,Seed,2021,Logistics & Transportation
Flexmoney,2015,Mumbai,FinTech,"flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, emi and bnpl checkout finance",Yezdi Lashkari,Pravega Ventures,4800000.0,Series A,2021,Finance & FinTech
Fampay,2019,Bangalore,FinTech,india's first numberless card and upi without a bank account,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital",38000000.0,Series A,2021,Finance & FinTech
Apna,2019,Bangalore,Human Resources,india's professional app - apna is dedicated to solving the problem of unemployment at the grassroot level,Nirmit Parikh,"Sequoia Capital India, Rocketship.Vc",70000000.0,Series B,2021,Human Resources
Xyxx Apparels,2017,Surat,Fashion,"xyxx apparels,which runs an eponymous innerwear brand",Yogesh Kabra,Undisclosed,4000000.0,Series A,2021,Fashion & Lifestyle
Waterscience,2014,Bangalore,D2C startup,the aim of making good water affordable and accessible.,Sudeep N,Undisclosed,0.0,Unknown,2021,Retail & E-Commerce
Browserstack,2011,Mumbai,SaaS startup,browserstack is a leading software testing platform powering over two million tests every day across 15 global data centres.,"Nakul Aggarwal, Ritesh Arora",Accel,200000000.0,Series B,2021,Information Technology
Vital,2018,New Delhi,Insuretech,"an affordable, digital health plan built around to cover both big and small expenses",Rahul Kumar,Blinc Invest,3000000.0,Pre-Series A,2021,Other
Juicy Chemistry,2014,Coimbatore,HealthCare,juicy chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher",Spring Marketing Capital,0.0,Unknown,2021,Health & Life Sciences
Samaaro,2020,Bangalore,SaaS startup,"samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Mayank Banka, Purnank Prakash, Skandha Gopalan","Chaitanya Kalipatnapu, Kedar Gavane",125000.0,Unknown,2021,Information Technology
